mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model,param_criterion,param_max_depth,param_min_samples_split,param_n_estimators
0.16556158065795898,0.0275335641880055,0.011040163040161134,0.0029566144681419716,0.1,1000.0,l2,lbfgs,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7702275436686881,0.7425953199149076,0.7959770114942528,0.8027777777777778,0.7975605892602566,0.7818276484231765,0.022629077989041294,3,logistic_regression,,,,
0.3045447826385498,0.05712235376013819,0.012663602828979492,0.004502033497865194,1.0,1000.0,l2,lbfgs,"{'C': 1.0, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7945402298850575,0.7321380786727322,0.8105500821018062,0.8111199787177441,0.7975605892602566,0.7891817917275192,0.029294334566934848,2,logistic_regression,,,,
0.3584283828735352,0.044970213560388266,0.007940912246704101,0.0021865151702399445,10.0,1000.0,l2,lbfgs,"{'C': 10.0, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7945402298850575,0.7561807331628303,0.8260159281192567,0.8043247827008693,0.8057659932659933,0.7973655334268015,0.022995713100002563,1,logistic_regression,,,,
0.2681547164916992,0.024931864180933905,0.015649747848510743,0.008045097569383314,,,,,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}",0.8186813186813187,0.7474444741771475,0.8367816091954023,0.8125561011669042,0.8061698061698062,0.8043266618781157,0.03021947685464331,2,decision_tree,gini,,2.0,
0.3258934497833252,0.08812131817724048,0.013520288467407226,0.0033128365509292926,,,,,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}",0.813345167858821,0.7020833333333334,0.82992240795709,0.8125561011669042,0.8079316128334144,0.7931677246299126,0.04614820438376978,18,decision_tree,gini,,5.0,
0.39536662101745607,0.12267865523241138,0.008634042739868165,0.0014457875740781407,,,,,"{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 10}",0.8186813186813187,0.7450980392156863,0.82992240795709,0.8193767224931101,0.8147826086956522,0.8055722194085714,0.0306506189572847,1,decision_tree,gini,,10.0,
0.18814387321472167,0.04396848358641313,0.010837554931640625,0.005942539789813094,,,,,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",0.8295236614316073,0.749641890816489,0.8151330521272717,0.8111199787177441,0.7791128037333047,0.7969062773652834,0.02880509783846273,12,decision_tree,gini,5,2.0,
0.16719913482666016,0.04835605387174682,0.013039541244506837,0.004305503292937926,,,,,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}",0.8295236614316073,0.749641890816489,0.8151330521272717,0.8111199787177441,0.7876068376068376,0.79860508413999,0.027943194023078856,10,decision_tree,gini,5,5.0,
0.12520961761474608,0.0226416407015414,0.008543109893798828,0.0007576882516373101,,,,,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10}",0.8295236614316073,0.7582417582417582,0.8151330521272717,0.8111199787177441,0.7791128037333047,0.7986262508503372,0.02605724301107161,9,decision_tree,gini,5,10.0,
0.16768488883972169,0.029292857264967467,0.009437084197998047,0.0018126107991772136,,,,,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",0.8186813186813187,0.7020833333333334,0.82992240795709,0.8207070707070707,0.8061698061698062,0.7955127873697239,0.04732481310312522,16,decision_tree,gini,10,2.0,
0.163972806930542,0.01843721429560994,0.00930018424987793,0.0015829177215077002,,,,,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",0.811891607471718,0.7386021505376344,0.82992240795709,0.8138925294888597,0.7993478260869565,0.7987313043084519,0.03159695082579384,8,decision_tree,gini,10,5.0,
0.16336383819580078,0.03483516900296267,0.009625768661499024,0.0008959176179360167,,,,,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10}",0.8186813186813187,0.7450980392156863,0.82992240795709,0.8138925294888597,0.7974544656572307,0.8010097522000372,0.0298427598815776,3,decision_tree,gini,10,10.0,
0.20905890464782714,0.017749588927687056,0.008043575286865234,0.0008808915019949862,,,,,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2}",0.8214731585518102,0.711394752631866,0.82992240795709,0.8193767224931101,0.8147826086956522,0.7993899300659058,0.04427066492636239,6,decision_tree,gini,20,2.0,
0.20565400123596192,0.008859600505671635,0.009211969375610352,0.002089878246817361,,,,,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 5}",0.8308602150537634,0.711394752631866,0.8367816091954023,0.8125561011669042,0.8061698061698062,0.7995524968435485,0.04549912174679284,5,decision_tree,gini,20,5.0,
0.19284191131591796,0.015912881350951733,0.007773590087890625,0.0005285261297690276,,,,,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 10}",0.825507984508462,0.7020833333333334,0.82992240795709,0.8193767224931101,0.7993478260869565,0.7952476548757905,0.04774230863130819,17,decision_tree,gini,20,10.0,
0.14901151657104492,0.02309244030083523,0.008121442794799805,0.0009609376923900238,,,,,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}",0.7554035142279584,0.6862188921594863,0.8027270388474401,0.7876068376068376,0.7975605892602566,0.7659033744203958,0.043102356327207554,24,decision_tree,entropy,,2.0,
